ObservationID	SubLocationName	Count
146063	1_1	0
146063	1_2	0
146063	2_1	0
146063	2_2	0
146063	3_1	0
146063	3_2	0
146069	1_1	0
146069	1_2	0
146069	2_1	6
146069	2_2	0
146069	3_1	0
146069	3_2	3
146070	1_1	0
146070	1_2	0
146070	2_1	10
146070	2_2	0
146070	3_1	2
146070	3_2	2
146071	1_1	0
146071	1_2	0
146071	2_1	13
146071	2_2	0
146071	3_1	0
146071	3_2	4
146073	1_1	0
146073	1_2	0
146073	2_1	0
146073	2_2	0
146073	3_1	0
146073	3_2	0
146083	1_1	0
146083	1_2	0
146083	2_1	0
146083	2_2	0
146083	3_1	2
146083	3_2	4
146203	1_1	0
146203	1_2	0
146203	2_1	3
146203	2_2	0
146203	3_1	0
146203	3_2	2
146218	1_1	0
146218	1_2	0
146218	2_1	0
146218	2_2	0
146218	3_1	0
146218	3_2	2
146450	1_1	0
146450	1_2	0
146450	2_1	0
146450	2_2	0
146450	3_1	0
146450	3_2	0
146452	1_1	0
146452	1_2	0
146452	2_1	0
146452	2_2	0
146452	3_1	0
146452	3_2	0
146498	1_1	0
146498	1_2	0
146498	2_1	2
146498	2_2	0
146498	3_1	2
146498	3_2	0
146726	1_1	2
146726	1_2	1
146726	2_1	0
146726	2_2	6
146726	3_1	0
146726	3_2	0
146727	1_1	0
146727	1_2	2
146727	2_1	0
146727	2_2	1
146727	3_1	0
146727	3_2	2
146728	1_1	0
146728	1_2	0
146728	2_1	0
146728	2_2	0
146728	3_1	0
146728	3_2	0
146747	2_1	2
146747	2_2	0
146747	3_1	5
146747	3_2	0
146748	2_1	3
146748	2_2	0
146748	3_1	0
146748	3_2	0
146749	2_1	0
146749	2_2	0
146749	3_1	0
146749	3_2	0
146756	1_1	0
146756	1_2	1
146756	2_1	0
146756	2_2	3
146756	3_1	0
146756	3_2	3
146757	1_1	0
146757	1_2	0
146757	2_1	0
146757	2_2	0
146757	3_1	0
146757	3_2	3
146758	1_1	0
146758	1_2	0
146758	2_1	0
146758	2_2	0
146758	3_1	0
146758	3_2	0
146759	1_1	0
146759	1_2	5
146759	2_1	2
146759	2_2	8
146759	3_1	0
146759	3_2	0
146760	1_1	0
