SpeciesGroupID	SpeciesID
266	144
267	145
268	146
269	147
270	148
271	149
272	150
273	151
274	152
275	153
276	154
277	155
278	156
279	157
280	158
281	159
282	160
283	161
284	162
285	3
286	4
287	5
288	7
289	8
290	9
291	10
292	11
293	12
294	13
295	14
296	15
297	16
298	53
299	54
300	17
301	55
302	18
303	19
304	57
305	58
306	21
307	60
308	22
309	163
310	23
311	26
312	28
313	29
314	164
315	66
316	165
317	31
318	32
319	34
320	36
321	38
322	81
323	166
324	167
325	87
326	90
327	92
328	93
329	168
330	169
331	170
332	171
333	172
334	97
335	173
336	174
337	175
338	176
339	98
340	177
341	99
342	39
343	40
344	41
345	178
346	179
347	180
348	181
349	182
350	183
351	102
352	103
353	184
354	185
355	186
356	187
357	188
358	189
359	104
360	190
361	191
362	192
363	105
364	193
365	106
366	194
367	107
368	195
369	196
370	197
371	198
372	199
373	200
374	201
375	202
376	203
377	204
378	205
379	206
380	207
381	208
382	109
383	209
384	210
385	211
386	212
387	213
388	214
389	215
390	216
391	217
392	218
393	219
394	220
395	221
396	222
397	223
398	224
399	225
400	226
401	227
402	228
403	229
404	230
405	231
406	232
407	233
408	111
409	112
410	234
411	235
412	113
413	236
414	237
415	42
416	238
417	239
418	240
419	241
420	242
421	243
422	244
423	245
424	246
425	247
426	248
427	249
428	250
429	251
430	252
431	253
432	254
433	255
434	256
435	114
436	257
437	258
438	259
439	260
440	261
441	262
442	115
443	263
444	264
445	265
446	266
447	267
448	268
449	269
450	270
451	271
452	272
453	116
454	273
455	274
456	275
457	276
458	277
459	278
460	279
461	280
462	281
463	117
464	282
465	283
466	284
467	118
468	119
469	120
470	127
471	128
472	130
473	285
474	286
475	287
476	138
477	288
478	43
479	289
480	290
481	141
