Cycle	Stratum	Weight
0	Bos	0.054588236482019
0	Heide en duin	0.0436320822286232
0	Landbouw	0.833961316405184
0	Moeras en water	0.0448150074600606
0	Suburbaan	0.016707090551851
0	Urbaan	0.00629626687226214
1	Bos	0.0614161524886292
1	Heide en duin	0.0473555654088724
1	Landbouw	0.825751560810087
1	Moeras en water	0.0421521790893006
1	Suburbaan	0.0173424154728428
1	Urbaan	0.0059821267302675
2	Bos	0.0632758293601205
2	Heide en duin	0.0361469848870649
2	Landbouw	0.841566363566229
2	Moeras en water	0.0423332909126164
2	Suburbaan	0.0166775312739687
