Year	Stratum	Weight
2007	Bos	0.00576858953607271
2007	Heide en duin	0.00577667945705219
2007	Landbouw	0.959852337268555
2007	Moeras en water	0.0114644715227015
2007	Suburbaan	0.0100781812912208
2007	Urbaan	0.00705974092439745
2008	Bos	0.0104129211470911
2008	Heide en duin	0.00686835581555242
2008	Landbouw	0.959848432322789
2008	Moeras en water	0.00462891940999489
2008	Suburbaan	0.00637211614914679
2008	Urbaan	0.0118692551554257
2009	Bos	0.00469403466836937
2009	Landbouw	0.967810600375331
2009	Moeras en water	0.00877107858398052
2009	Suburbaan	0.00291073593258791
2009	Urbaan	0.0158135504397313
2010	Bos	0.00820144981075352
2010	Heide en duin	0.00698918334046161
2010	Landbouw	0.956461704763122
2010	Moeras en water	0.0104981429070068
2010	Suburbaan	0.0110736100221325
2010	Urbaan	0.00677590915652356
2011	Bos	0.00955963797301884
2011	Heide en duin	0.00950708624003372
2011	Landbouw	0.956922793654386
2011	Moeras en water	0.00836315710283257
2011	Suburbaan	0.00525858574870494
2011	Urbaan	0.0103887392810236
2012	Bos	0.00706808883566025
2012	Heide en duin	0.0051873489887383
2012	Landbouw	0.964365120351353
2012	Moeras en water	0.00843197640617776
2012	Suburbaan	0.00342581590539597
2012	Urbaan	0.011521649512675
2013	Bos	0.0108352443415192
2013	Heide en duin	0.00855884168612658
2013	Landbouw	0.950301784260051
2013	Moeras en water	0.0120987900766431
2013	Suburbaan	0.0138317763128558
2013	Urbaan	0.0043735633228046
2014	Bos	0.00832280408749693
2014	Heide en duin	0.00456893245079142
2014	Landbouw	0.965980994872518
2014	Moeras en water	0.00884656675852045
2014	Suburbaan	0.00576856421236857
2014	Urbaan	0.00651213761830481
