ObservationID	LocationID	Date	Complete	Count
126	3151101	1999-11-14	1	1
139	3154202	1999-11-13	1	0
143	3150502	1999-11-13	1	1
149	3156701	1999-11-14	1	0
158	3151001	1999-11-13	1	0
159	3151801	1999-11-13	1	0
160	3150702	1999-11-13	1	0
163	3151122	1999-11-14	1	0
173	3151601	1999-11-13	1	0
174	3151602	1999-11-13	1	0
175	3150102	1999-11-14	1	0
176	3150104	1999-11-14	1	0
177	3150103	1999-11-14	1	0
179	3153316	1999-11-13	1	0
185	3152402	1999-11-14	1	0
187	3152401	1999-11-14	1	0
189	3153312	1999-11-14	1	0
191	3154301	1999-11-14	1	4
192	3153115	1999-11-14	1	0
224	3151101	1999-12-18	1	3
235	3150103	1999-12-19	1	1
236	3150104	1999-12-19	1	0
238	3150102	1999-12-19	1	2
241	3154202	1999-12-18	1	0
243	3156701	1999-12-18	1	0
246	3150502	1999-12-18	1	1
264	3151001	1999-12-18	1	0
266	3151801	1999-12-19	1	2
272	3153316	1999-12-19	1	0
279	3152402	1999-12-18	1	0
280	3152401	1999-12-18	1	0
283	3153312	1999-12-18	1	0
284	3154301	1999-12-18	1	12
285	3153115	1999-12-18	1	0
290	3151122	1999-12-18	1	3
293	3150702	1999-12-18	1	0
303	3151601	1999-12-19	1	0
306	3151602	1999-12-19	1	0
336	3151801	2000-01-15	1	2
337	3151001	2000-01-15	1	0
352	3151601	2000-01-17	1	0
353	3151602	2000-01-17	1	0
355	3150102	2000-01-15	1	0
356	3150104	2000-01-15	1	3
357	3150103	2000-01-15	1	0
358	3151101	2000-01-15	1	8
376	3152402	2000-01-16	1	2
378	3152401	2000-01-16	1	0
381	3153312	2000-01-16	1	1
382	3154301	2000-01-16	1	10
383	3153115	2000-01-16	1	0
386	3153316	2000-01-15	1	0
398	3151122	2000-01-15	1	1
402	3150702	2000-01-15	1	0
415	3156701	2000-01-16	1	0
417	3154202	2000-01-16	1	0
426	3150502	2000-01-15	1	0
453	3151801	2000-02-15	1	1
454	3151001	2000-02-15	1	0
461	3150502	2000-02-12	1	3
471	3156701	2000-02-11	1	0
474	3154202	2000-02-11	1	0
491	3151101	2000-02-13	1	7
495	3151602	2000-02-13	1	0
496	3151601	2000-02-13	1	1
506	4140202	1999-11-13	1	0
509	4140202	1999-12-19	1	0
511	4141802	1999-11-17	1	0
513	4141802	1999-12-19	1	0
516	4141802	2000-01-15	1	0
518	4140202	2000-01-15	1	1
521	4140202	2000-02-12	1	1
523	4141802	2000-02-12	1	0
525	4140202	2000-03-18	1	0
595	3151122	2000-02-12	1	0
599	3150702	2000-02-12	1	0
602	3153316	2000-02-12	1	0
641	1020101	1999-11-13	1	20
642	1020137	1999-11-13	1	0
646	1020201	1999-11-14	1	0
656	1020201	1999-12-18	1	2
664	1020101	1999-12-18	1	111
665	1020201	2000-01-15	1	0
668	1020101	2000-01-15	1	53
684	1020101	2000-02-14	1	60
690	1020201	2000-02-11	1	0
697	1020201	2000-03-19	1	0
701	1020101	2000-03-17	1	34
833	5211901	1999-11-14	1	0
836	5210601	1999-11-14	1	2
837	5210603	1999-11-14	1	0
838	5211901	1999-12-18	1	0
841	5210601	1999-12-18	1	2
842	5210603	1999-12-18	1	0
843	5211102	1999-12-18	1	6
844	5211901	2000-01-16	1	0
847	5210601	2000-01-16	1	1
848	5210603	2000-01-16	1	0
849	5211901	2000-02-12	1	0
852	5210601	2000-02-12	1	3
853	5210603	2000-02-12	1	0
854	5211102	2000-02-13	1	8
855	5211901	2000-03-18	1	0
858	5210601	2000-03-18	1	0
866	3130801	1999-11-13	1	0
867	3130801	1999-12-15	1	0
868	3130801	2000-01-15	1	0
869	3130801	2000-02-12	1	0
870	3130801	2000-03-18	1	0
873	3130101	1999-11-14	1	15
874	3130101	1999-12-18	1	41
875	3130101	2000-01-15	1	38
876	3130101	2000-02-12	1	41
877	3130101	2000-03-18	1	22
885	5210603	2000-03-18	1	0
908	5200201	1999-11-15	1	0
909	5200201	1999-12-18	1	0
910	5200201	2000-01-18	1	0
911	5200201	2000-02-13	1	0
912	5200201	2000-03-19	1	0
920	5200301	1999-11-14	1	0
921	5200301	1999-12-18	1	0
922	5200301	2000-01-15	1	0
923	5200301	2000-02-12	1	1
924	5200301	2000-03-18	1	0
938	5190402	1999-11-14	1	0
939	5190402	1999-12-12	1	0
940	5190402	2000-01-16	1	0
941	5190402	2000-02-12	1	0
942	5190402	2000-03-12	1	0
968	5190403	1999-11-14	1	0
969	5190403	1999-12-12	1	0
970	5190403	2000-01-16	1	0
971	5190403	2000-02-12	1	0
972	5190403	2000-03-12	1	0
980	5190601	1999-11-14	1	0
981	5190601	1999-12-12	1	0
982	5190601	2000-01-16	1	0
983	5190601	2000-02-12	1	0
984	5190601	2000-03-12	1	0
996	3160605	1999-11-12	1	0
999	3160605	1999-12-18	1	0
1001	3160605	2000-01-16	1	0
1005	3160605	2000-02-13	1	2
1007	3160605	2000-03-19	1	4
1060	3161335	1999-11-14	1	0
1061	3161343	1999-11-14	1	1
1062	3161316	1999-11-14	1	0
1063	3161313	1999-11-14	1	0
1065	3161305	1999-11-14	1	0
1066	3161306	1999-11-14	1	0
1070	3161317	1999-11-14	1	0
1075	3161307	1999-11-14	1	0
1076	3161303	1999-11-14	1	3
1077	3161317	1999-12-26	1	0
1078	3161305	1999-12-19	1	0
1079	3161303	1999-12-19	1	3
1080	3161316	1999-12-19	1	1
1081	3161335	1999-12-19	1	0
