SpeciesNL	Firstyear	SpeciesCovered
Dodaars	1992	w
Dodaars	1992	weg
Dodaars	1992	wegm
Dodaars	1992	wegsm
Dodaars	1992	wem
Dodaars	1992	wems
Fuut	1992	w
Fuut	1992	weg
Fuut	1992	wegm
Fuut	1992	wegsm
Fuut	1992	wem
Fuut	1992	wems
Aalscholver	1992	w
Aalscholver	1992	weg
Aalscholver	1992	wegm
Aalscholver	1992	wegsm
Aalscholver	1992	wem
Aalscholver	1992	wems
Grote Zilverreiger	1992	w
Grote Zilverreiger	1992	weg
Grote Zilverreiger	1992	wegm
Grote Zilverreiger	1992	wegsm
Grote Zilverreiger	1992	wem
Grote Zilverreiger	1992	wems
Blauwe Reiger	1992	w
Blauwe Reiger	1992	weg
Blauwe Reiger	1992	wegm
Blauwe Reiger	1992	wegsm
Blauwe Reiger	1992	wem
Blauwe Reiger	1992	wems
Knobbelzwaan	1992	w
Knobbelzwaan	1992	weg
Knobbelzwaan	1992	wegm
Knobbelzwaan	1992	wegsm
Knobbelzwaan	1992	wem
Knobbelzwaan	1992	wems
Kleine Zwaan	1992	w
Kleine Zwaan	1992	weg
Kleine Zwaan	1992	wegm
Kleine Zwaan	1992	wegsm
Kleine Zwaan	1992	wem
Kleine Zwaan	1992	wems
Toendrarietgans	1992	w
Toendrarietgans	1992	wem
Toendrarietgans	1992	wems
Toendrarietgans	1992	zg
Kleine Rietgans	1992	w
Kleine Rietgans	1992	wem
Kleine Rietgans	1992	wems
Kleine Rietgans	1992	zg
Kolgans	1992	w
Kolgans	1992	wem
Kolgans	1992	wems
Kolgans	1992	zg
Grauwe Gans	1992	w
Grauwe Gans	1992	wem
Grauwe Gans	1992	wems
Grauwe Gans	1992	zg
Brandgans	1992	w
Brandgans	1992	wem
Brandgans	1992	wems
Brandgans	1992	zg
Canadese Gans	1992	w
Canadese Gans	1992	weg
Canadese Gans	1992	wegm
Canadese Gans	1992	wegsm
Canadese Gans	1992	wem
Canadese Gans	1992	wems
Nijlgans	1992	w
Nijlgans	1992	weg
Nijlgans	1992	wegm
Nijlgans	1992	wegsm
Nijlgans	1992	wem
Nijlgans	1992	wems
Bergeend	1992	w
Bergeend	1992	weg
Bergeend	1992	wegm
Bergeend	1992	wegsm
Bergeend	1992	wem
Bergeend	1992	wems
Smient	1992	w
Smient	1992	weg
Smient	1992	wegm
Smient	1992	wegsm
Smient	1992	wem
Smient	1992	wems
Krakeend	1992	w
Krakeend	1992	weg
Krakeend	1992	wegm
Krakeend	1992	wegsm
Krakeend	1992	wem
Krakeend	1992	wems
Wintertaling	1992	w
Wintertaling	1992	weg
Wintertaling	1992	wegm
Wintertaling	1992	wegsm
Wintertaling	1992	wem
Wintertaling	1992	wems
Wilde Eend	1992	w
Wilde Eend	1992	weg
Wilde Eend	1992	wegm
Wilde Eend	1992	wegsm
Wilde Eend	1992	wem
Wilde Eend	1992	wems
Pijlstaart	1992	w
Pijlstaart	1992	weg
Pijlstaart	1992	wegm
Pijlstaart	1992	wegsm
Pijlstaart	1992	wem
Pijlstaart	1992	wems
Slobeend	1992	w
Slobeend	1992	weg
Slobeend	1992	wegm
Slobeend	1992	wegsm
Slobeend	1992	wem
Slobeend	1992	wems
Tafeleend	1992	w
Tafeleend	1992	weg
Tafeleend	1992	wegm
Tafeleend	1992	wegsm
Tafeleend	1992	wem
Tafeleend	1992	wems
Kuifeend	1992	w
Kuifeend	1992	weg
Kuifeend	1992	wegm
Kuifeend	1992	wegsm
Kuifeend	1992	wem
Kuifeend	1992	wems
Brilduiker	1992	w
Brilduiker	1992	weg
Brilduiker	1992	wegm
Brilduiker	1992	wegsm
Brilduiker	1992	wem
Brilduiker	1992	wems
Nonnetje	1992	w
Nonnetje	1992	weg
Nonnetje	1992	wegm
Nonnetje	1992	wegsm
Nonnetje	1992	wem
Nonnetje	1992	wems
Grote Zaagbek	1992	w
Grote Zaagbek	1992	weg
Grote Zaagbek	1992	wegm
Grote Zaagbek	1992	wegsm
Grote Zaagbek	1992	wem
Grote Zaagbek	1992	wems
Waterhoen	2000	w
Waterhoen	2000	weg
Waterhoen	2000	wegm
Waterhoen	2000	wegsm
Waterhoen	2000	wem
Waterhoen	2000	wems
Meerkoet	1992	w
Meerkoet	1992	weg
Meerkoet	1992	wegm
Meerkoet	1992	wegsm
Meerkoet	1992	wem
Meerkoet	1992	wems
Scholekster	1992	w
Scholekster	1992	weg
Scholekster	1992	wegm
Scholekster	1992	wem
Scholekster	1992	st
Kluut	1992	w
Kluut	1992	weg
Kluut	1992	wegm
Kluut	1992	wem
Kluut	1992	st
Goudplevier	2000	w
Goudplevier	2000	weg
Goudplevier	2000	wegm
Goudplevier	2000	wem
Goudplevier	2000	st
Zilverplevier	1992	w
Zilverplevier	1992	weg
Zilverplevier	1992	wegm
Zilverplevier	1992	wem
Zilverplevier	1992	st
Kievit	2000	w
Kievit	2000	weg
Kievit	2000	wegm
Kievit	2000	wem
Kievit	2000	st
Drieteenstrandloper	1992	w
Drieteenstrandloper	1992	weg
Drieteenstrandloper	1992	wegm
Drieteenstrandloper	1992	wem
Drieteenstrandloper	1992	st
Paarse Strandloper	1992	w
Paarse Strandloper	1992	weg
Paarse Strandloper	1992	wegm
Paarse Strandloper	1992	wem
Paarse Strandloper	1992	st
Bonte Strandloper	1992	w
Bonte Strandloper	1992	weg
Bonte Strandloper	1992	wegm
Bonte Strandloper	1992	wem
Bonte Strandloper	1992	st
Kemphaan	2000	w
Kemphaan	2000	weg
Kemphaan	2000	wegm
Kemphaan	2000	wem
Kemphaan	2000	st
Wulp	2000	w
Wulp	2000	weg
Wulp	2000	wegm
Wulp	2000	wem
Wulp	2000	st
Tureluur	1992	w
Tureluur	1992	weg
Tureluur	1992	wegm
Tureluur	1992	wem
Tureluur	1992	st
Steenloper	1992	w
Steenloper	1992	weg
Steenloper	1992	wegm
Steenloper	1992	wem
Steenloper	1992	st
Rosse Stekelstaart	1992	w
Rosse Stekelstaart	1992	weg
Rosse Stekelstaart	1992	wegm
Rosse Stekelstaart	1992	wegsm
Rosse Stekelstaart	1992	wem
Rosse Stekelstaart	1992	wems
Grutto	2000	w
Bontbekplevier	1992	w
Grutto	2000	weg
Bontbekplevier	1992	weg
Grutto	2000	wegm
Bontbekplevier	1992	wegm
Grutto	2000	wem
Bontbekplevier	1992	wem
Grutto	2000	st
Bontbekplevier	1992	st
