LocationID	Year	fMonth	ObservationID	Complete	Count
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	1	a00167faa561a9466726a1e842df183800848cdd	1	3
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	2	872e41f0c9e6d0f1c6ec2ffdd933fbe7949171bb	1	6
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	11	607d3d534382b2ef7aae3f3a5f04bdaffa24711a	1	5
00474e5be7b526f63d3e6655f764d56b7cba8acf	2011	12	5a6bb562922e3bd6034c6dd40921d81461d2bab2	1	1
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	1	1fca724789f85f07086ce44f865ee1a743f21a34	1	1
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	2	1528f2fadbbf51390f9b7892f4793d891b42c5ec	1	2
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	11	5357f1dc8a2f2362c10934f966ee47cc6b5c6a42	1	0
00474e5be7b526f63d3e6655f764d56b7cba8acf	2012	12	70136b25e617e0ba7e082f08857f6574e18d8061	1	2
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	1	7355504dce0bf06dac49107d08f39698405c67d6	1	2
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	2	c7822178a2b1b2bed06ee9e504473a03d3f02782	1	2
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	11	e690932a9730dc433b888036f99c1bc968c2c800	1	1
00474e5be7b526f63d3e6655f764d56b7cba8acf	2013	12	7dd3f0a0add404110a00ea05cde2711f3eeca3cd	1	2
00474e5be7b526f63d3e6655f764d56b7cba8acf	2014	1	84011886f4207a7599346a02ed59620bf2415142	1	0
00474e5be7b526f63d3e6655f764d56b7cba8acf	2014	11	f972c6e412f60e5372af5909ee72417480a19e14	1	0
00474e5be7b526f63d3e6655f764d56b7cba8acf	2014	12	6e471530ff8afef0ab44d72722052bbbe34a7732	1	1
0047dac932f4f1e50383f4119d51dad453b75f6e	1992	1	131996	1	7
0047dac932f4f1e50383f4119d51dad453b75f6e	1992	2	132304	1	10
0047dac932f4f1e50383f4119d51dad453b75f6e	1992	3	165670	1	1
0047dac932f4f1e50383f4119d51dad453b75f6e	1992	10	130996	1	10
0047dac932f4f1e50383f4119d51dad453b75f6e	1992	12	131665	1	5
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	1	96876	1	1
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	2	96895	1	4
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	3	96914	1	5
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	10	96822	1	20
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	11	96839	1	40
0047dac932f4f1e50383f4119d51dad453b75f6e	1993	12	96858	1	13
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	1	92573	1	3
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	2	92599	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	3	92624	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	10	92506	1	17
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	11	92531	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1994	12	92554	1	7
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	1	105591	1	4
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	2	105606	1	102
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	3	105622	1	9
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	10	105545	1	46
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	11	105562	1	28
0047dac932f4f1e50383f4119d51dad453b75f6e	1995	12	105576	1	3
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	1	94308	1	14
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	2	94330	1	2
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	3	94349	1	1
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	10	94235	1	8
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	11	94259	1	17
0047dac932f4f1e50383f4119d51dad453b75f6e	1996	12	94284	1	9
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	1	97502	1	0
0047dac932f4f1e50383f4119d51dad453b75f6e	1997	2	97528	1	3
