SpeciesGroup	Species
0040d15f2df442312fcb19f03d85758e5e58a54e	7de36896d9bd9fc6749746e817c2ad23a1cc99a4
00cc8873fee4086c69aa5a7298163064bf134e27	eaf6b6596d71e776c0939fadc441e115dee608c2
04ff442ab3c00686c7e773bdcb95849c7346bd7d	55770778eb63e41a92949ec9a6259b802ad447aa
08f794a9414f53a8ec83a3f919eee1cabefbadd3	686d95da566cf3c1e20be683057e77155795a460
095fefef3d8a7f784c3d56df8333afad076ad5cf	580b9d6da4699d555a6cfcff8ea8ff800377da92
0d4dc6c83f6f224eceee1e59c812492f0025b60a	0b5451743ecf75e93fdbaa349584491c242b2b9c
1332aca8d4f1947db709df25589e353e33d92530	ecad2ddd63db7a58cba2c9f5439c8d32ba2d6d04
1b0b4351c88215b92a9cba26a0cd29478c199a4c	cd46660f659ebb1f2eb97c083868c19d60147c68
1eb81c82b4a3b70ba6d34e593fd53cf3c27781a2	baf39b3c5b10f23d657a8785929d666e680751a0
227d182c9775bd742673fe918f321170789748d5	d264a326ba567b15b6e72b25152cb6efa8c46b9b
2587c3f4a514e43c4cd15432fa5fbf652f9d4b80	b5845904fc9a5e2e1cd309b73ce0800065493b04
286a8d938922c0f854d5a625d469fd3d6542b5c6	940f267c09112f06b30940bc55b204905c5456b9
30d17869d4b9c93ec00cd71a10f9d993d81f313d	dffc56e5a0c24267dac6928bacb1cde335049c99
31892ff3c650021d8e82ca221276976fd46ebfb7	7132e471ad89529462223582cce363280ce9696c
4567080acebd6b601d9678f91fcb2f8fa443c971	c36c5dd204f54bae2ec2f853012926b368e119c1
5537d7a7539b83c67a9dbdd3048302f6862aa25d	1c0d6110385a6181681e350a6fd48b2b71987e25
5d336284c92a8c0b1b3fb8ede6083a169310e983	5b715de38ccf0f7bc7f8a8caa3dc88ae96a36f93
5e3a44fe1ce5c7da9c461d0ffd5871b05513548c	2c6e3597610ca40459eec22cdf726cafdf708ec6
629b9ee3a90e39ee9f56437d06d341df0f3d6826	fba326ad557ed1342cc8350c4574e19cb33a12ff
7a2fe535fbca1f9f69370f960bf402b46f591db0	af3096b962581a168682830b0ec508927a583de2
8169ac52529aee4af289e97dfa7819ab12d8781b	23e5c9c1173d06f0f58ca8da33aa29a1efa0175d
82078620407290d979d36d2fa8c721c45a5b61ec	75de5218107cd1ca34141d873b6558c88ee68e57
854a5819e4053c8bf834c60e8cae4202f21294af	25db701e49793a7835122d277d56e899d02a891b
924de6453ffef3e0b23acee82192bf9a6ff3d9e5	6c1c99a8212eff7f8813d838e87790b6d079826b
9263a29aa77d47f244945277000168130dde3392	885bcd62eeedc804d32631e0cf73ec14d4a2976e
953869de74112c55cdd09dfaaeaeb85ffd2a1978	c0264c571c964a7bf1a64985f38c709fc9e6ab0c
995c1f118acce735183be827893d29af44f40257	1f3fafe84e0490dac330e6e3d7e9af42f202f348
9e55d51d0bef1b0b453517f39a8554b12f16fa40	970e8189f110fcb3d97fcda46aadc9c2f5f5b8d3
a28e5f9eed9c0640ee585e92f76e88117eb393a7	7778ed065326a59940d09e5882861a0b6c38a3b8
a71d6a4a4ea210c55e140248f00ff2dc11456945	728abb78666246eb5891993c49f713fc1769f0ec
baf4734701ea73fb1d055dfaca21649c512f2eec	2bf08f965e8e10571d58465680e8e47d299978c3
be96133c7aa1fe6f890251966cd745be0b59cd84	9afc2f33fd60ce2483d3d47355f4ed86690f1c52
ca2f6a93822852e6668fc16e9e9391b6ce07254e	2a0a64ec8e5235375fb91f4b6be3ad97eecc9a7f
d4bf087b90e89227bba55c6a3ecbec92b3ffcd02	4eb20880e2ec561d7ee3f1ea328b0a4ca3d10adb
eb55f99d00df512f3e775d63cca763784ce8e770	aa700754d3457df6559383a929c8fcd643c4e4e2
ec05c7469443c10332381ae521df66f929e1e084	fe7772f510c3780e07c3508ea7404975d60564e2
f040e790532216a7c2c8612015ffd2d064f256bb	2d62325053fdd5f81ca63757c9a8b1a64df6a5d4
f5612258c1f34c083bd3bb58118d4f87c3d7d083	14d08ab3ef54c7bdad7907860e0d36c2117a48e3
f568ebc9797e825d61df580004fa94c95e190764	6030d36824a40540b41afa9d9269255d0df68500
fa6e94ac70361108c45ba59aa3ecbe1ade4fdf2f	40d67208e4c27343e5dfa60e6e5d0f33632fcd8f
feae0cd2a2773855cf26828a22dda72cd3a0c955	c0ec4b3e2afa1b8c644a273769411c4aeb776b49
ff08ac5cb2e0b5da2f8a94d5bd40d0f432b982a2	810b878158e7acdb5ace4f166c684e18cc9928ff
ff0d17adc2be8806726723d6510c817316f39502	175f4cb60736ee481d0622261cc0d19d7c7fe3a1
