ObservationID	Count	SpeciesID
RHOE_01.02_1994_11	5	90
RHOE_01.02_1994_11	5	1220
RHOE_01.02_1994_11	28	1520
RHOE_01.02_1994_11	16	1790
RHOE_01.02_1994_11	18	1820
RHOE_01.02_1994_11	36	1980
RHOE_01.02_1994_11	38	2030
RHOE_01.02_1994_11	2	4070
RHOE_01.02_1994_11	167	4930
RHOE_01.02_1994_12	12	90
RHOE_01.02_1994_12	15	720
RHOE_01.02_1994_12	6	1220
RHOE_01.02_1994_12	15	1790
RHOE_01.02_1994_12	1	1820
RHOE_01.02_1994_12	2	1860
RHOE_01.02_1994_12	6	1940
RHOE_01.02_1994_12	100	1980
RHOE_01.02_1994_12	103	2030
RHOE_01.02_1994_12	2	4070
RHOE_01.02_1994_12	30	4240
RHOE_01.02_1994_12	124	4290
RHOE_01.02_1995_1	8	90
RHOE_01.02_1995_1	27	720
RHOE_01.02_1995_1	15	1220
RHOE_01.02_1995_1	6	1520
RHOE_01.02_1995_1	3	1790
RHOE_01.02_1995_1	4	1820
RHOE_01.02_1995_1	42	1840
RHOE_01.02_1995_1	11	1860
RHOE_01.02_1995_1	3	1940
RHOE_01.02_1995_1	37	1980
RHOE_01.02_1995_1	104	2030
RHOE_01.02_1995_1	2	4070
RHOE_01.02_1995_1	48	4240
RHOE_01.02_1995_1	70	4290
RHOE_01.02_1995_1	23	5820
RHOE_01.02_1995_1	27	5900
RHOE_01.02_1995_10	4	90
RHOE_01.02_1995_10	6	1220
RHOE_01.02_1995_10	9	1520
RHOE_01.02_1995_10	1	1730
RHOE_01.02_1995_10	20	1790
RHOE_01.02_1995_10	20	1840
RHOE_01.02_1995_10	33	1860
RHOE_01.02_1995_10	23	1940
RHOE_01.02_1995_10	19	2030
RHOE_01.02_1995_10	55	4240
RHOE_01.02_1995_10	70	4290
RHOE_01.02_1995_10	15	5820
RHOE_01.02_1995_11	1	70
RHOE_01.02_1995_11	6	90
RHOE_01.02_1995_11	1	1220
RHOE_01.02_1995_11	2	1520
RHOE_01.02_1995_11	5	1730
RHOE_01.02_1995_11	1	1790
RHOE_01.02_1995_11	17	1860
RHOE_01.02_1995_11	3	1890
RHOE_01.02_1995_11	16	2030
RHOE_01.02_1995_11	45	4240
RHOE_01.02_1995_11	65	4290
RHOE_01.02_1995_11	12	5820
RHOE_01.02_1995_12	1	1220
RHOE_01.02_1995_12	23	1730
RHOE_01.02_1995_12	2	1820
RHOE_01.02_1995_12	66	1840
RHOE_01.02_1995_12	33	1860
RHOE_01.02_1995_12	5	1890
RHOE_01.02_1995_12	1	1940
RHOE_01.02_1995_12	2	1980
RHOE_01.02_1995_12	76	2030
RHOE_01.02_1995_12	26	4240
RHOE_01.02_1995_12	90	4290
RHOE_01.02_1995_12	1	5410
RHOE_01.02_1995_12	8	5820
RHOE_01.02_1995_2	1	1220
RHOE_01.02_1995_2	50	1790
RHOE_01.02_1995_2	160	1980
RHOE_01.02_1995_2	52	2030
RHOE_01.02_1996_1	2	70
RHOE_01.02_1996_1	8	90
RHOE_01.02_1996_1	1	720
RHOE_01.02_1996_1	15	1220
RHOE_01.02_1996_1	5	1520
RHOE_01.02_1996_1	2	1610
RHOE_01.02_1996_1	6	1860
RHOE_01.02_1996_1	4	1890
RHOE_01.02_1996_1	2	1980
RHOE_01.02_1996_1	20	2030
RHOE_01.02_1996_1	2	2200
RHOE_01.02_1996_1	9	2230
RHOE_01.02_1996_1	1	4070
RHOE_01.02_1996_1	66	4240
RHOE_01.02_1996_1	99	4290
RHOE_01.02_1996_1	150	5820
RHOE_01.02_1997_1	2	1520
RHOE_01.02_1997_1	2	1730
