LocationID	LocationName	SPA	Area	XBelgiumLambert72	YBelgiumLambert72
RHOE_01.02	Ploegsteert (Argilières = RNOP)	1	98.6851449	46292.88905	157073.8476
RHOE_01.03	Warneton (Pont Rouge)	0	10	48704	159079
RHOE_01.04	Warneton/Ploegsteert - Etangs Deconinck	1	31.30676047	48024.53182	157566.4601
RHOE_01.05	Comines-Warneton (Speedway)	0	NA	NA	NA
RHOE_01.06	Lys du Pont Rouge à Houplines	0	20.59171212	47764.92661	156399.966
RHOE_01.07	Lys de Deûlémont à Comines	1	62.69745917	51087.50738	160902.359
RHOE_01.09	Warneton - Etangs du Bon coin	0	9.072229679	48129.33464	158682.6043
RHOE_01.97	Bas-Warneton	0	100	51441	161426
RHOE_02.01	Escanaffles (Décanteurs)	0	28.74520388	85552.09297	161242.2427
RHOE_02.02	Warcoing (Décanteurs)	0	17.56879591	78519.98175	155634.3647
RHOE_02.03	Houtaing (Etangs du château de la Berlière)	0	10.48564929	102341.9275	148236.9966
RHOE_02.04	Escanaffles (Le Vivier)	0	3.296587337	85488.59461	160571.8324
RHOE_02.06	Pecq (La Garenne)	0	8.605401577	77673.72672	152130.2225
RHOE_02.08	Frasnes-lez-Anvaing (Décanteurs)	0	21.5493076	96451.11941	151287.0427
RHOE_02.10	Esquelmes (coupure Hazard + pré humide à côté)	1	11.66969414	77963.00562	152266.4708
RHOE_02.11	Warcoing (Etangs le long de la N50)	0	17.04619206	76668.46834	156101.056
RHOE_02.12	Escanaffles (étang de la Vesprée)	0	0.184400467	84956.72133	160786.561
RHOE_02.13	Escanaffles (prairies le long de la L'Haye)	0	10.03767338	84230.23629	160007.1986
RHOE_02.15	Hérinnes (coupure de Léaucourt)	1	3.303099401	78372.44858	151449.5521
RHOE_02.16	Pecq (coupure des Albronnes)	0	2.209284657	77669.03072	153957.1935
RHOE_02.17	Molenbaix (prairie inondée) / Commune de Celles	0	NA	NA	NA
RHOE_02.18	Grandrieu (rivière)	0	NA	NA	NA
RHOE_02.19	Hérinnes (champs inondés)	0	NA	NA	NA
RHOE_02.20	Orroir (sur la Rhosnes)	0	NA	NA	NA
RHOE_02.99	Escaut de Tournai à la frontière linguistique (pont d'Escanaffles)	0	100	79846	146351
RHOE_03.01	Tournai (Carrière de Barges)	0	6.10291558	80944.3989	142756.8114
RHOE_03.02	Tournai (Carrière de l'Orient)	0	18.85392576	82855.95261	143877.9475
RHOE_03.03	Tournai (Carrière de la Chaussée de Bruxelles = carrière de l'Ange)	0	41.42471727	84951.48762	142799.1388
RHOE_03.04	Tournai (Carrière de Pont-à-Rieu)	0	6.007607206	81161.95872	142604.5237
RHOE_03.05	Tournai (Carrière du Cornet)	0	4.932806179	81769.58376	142618.8941
RHOE_03.06	Tournai (Carrière IMC)	0	2.268282293	81525.08056	143053.2399
RHOE_03.07	Vaulx-lez-Tournai (Carrière Bonne Rencontre = carrière Plaquet 2)	0	6.68244931	82952.704	143467.3156
RHOE_03.08	Vaulx-lez-Tournai (Carrière de la Lapinière)	0	4.619704964	83456.42484	143066.6746
RHOE_03.09	Warchin (Prés d'Amour)	0	19.27258224	82783.95635	145262.0878
RHOE_03.10	Froyennes (Etang du Moulin)	0	2.119525203	78483.6483	146176.8279
RHOE_03.11	Vaulx-lez-Tournai (Carrière Plaquet 1	143146	NA	8.445437382	82748.52644
RHOE_03.14	Froyennes (Fontaine Saint-Eloi et champ inondé proche) / Commune de Tournai	0	NA	NA	NA
RHOE_04.01	Antoing (Carrière Crèvecoeur)	0	14.69082431	84264.11323	138847.4705
RHOE_04.02	Brugelette (décanteurs)	0	43.35752226	114300.0914	142674.9004
RHOE_04.03	Escaut en amont de Tournai (de Bléharies : frontière	139402	NA	90.64162805	83363.49092
RHOE_04.04	Gaurain-Ramecroix (carrière Les Wiots = carrière Vélorie)	0	22.25127035	87125.76622	142812.0947
RHOE_04.05	Gaurain-Ramecroix (Décanteur Béthomée)	0	22.39051194	86416.08036	144569.7696
RHOE_04.06	Péronnes-lez-Antoing (Grand Large)	0	65.56620266	85430.05829	137187.8701
RHOE_04.07	Fontenoy (Décanteurs)	0	22.87960303	87070.37185	140851.0958
RHOE_04.08	Bléharies (Coupure)	0	8.760445806	83613.29169	133922.8985
RHOE_04.10	Maffle (Anciennes carrières)	0	16.60359833	109518.2316	145229.4926
RHOE_04.11	Péronnes-lez-Antoing (Petit Large)	0	2.998476733	84373.52499	137508.7662
RHOE_04.12	Ancien canal de Péronnes-lez-Antoing à Callenelle	0	26.64425937	88126.00067	137089.6528
RHOE_04.13	Rumillies (pré humide)	0	44.33405432	84251.62568	145692.3741
